AGN_name,RA,DEC,z,source,type,ALeRCE,prob_diff_top2,alert_offset,t0,te,tg,r0_g,r0_r,A_g,A_r,max_gap,peak_sigma_g,peak_sigma_r,excess_num_g,excess_num_r,delta_bic,flare_point_g,flare_point_r,flag_1,flag_2,flag_3,flag_4,flag_5,flag_6,flag_7,flag_8
J222847.90-031403.0,337.1995914,-3.2341759,2.533,MQ,,QSO,0.052,0.259,59073.6,959.7,593.7,32.03,27.32,36.67,41.86,181.3,3.63,2.15,0.0,0.0,3.1,206.0,213.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J222852.77-090452.5,337.2198566,-9.0812589,0.07,M,,Blazar,0.032,0.182,58467.2,0.0,22.0,488.47,1243.02,308.49,458.44,187.3,5.95,8.51,2.0,0.0,94.1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
J222853.04+295243.4,337.2209818,29.8787227,1.175,MQ,,,,,58930.2,203.4,215.6,75.22,103.05,38.77,38.86,292.1,3.89,3.29,0.0,0.0,9.2,24.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J222855.14+140715.0,337.2297306,14.1208471,0.119,M,,,,,58854.1,24.2,36.3,56.52,119.45,12.65,28.14,182.3,3.15,4.39,5.0,10.0,6.9,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
J222901.16+003818.1,337.2548258,0.638366,0.083,M,,,,,59215.0,0.1,2.1,107.76,276.6,355.93,105.56,187.3,7.99,3.28,2.0,5.0,60.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
J222911.08+222154.4,337.2961638,22.3651247,1.922,MDQW,,QSO,0.463,0.166,60396.5,393.9,190.4,88.54,99.47,37.04,27.28,1074.1,3.14,3.87,0.0,0.0,-9.3,55.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J222931.10+294143.2,337.3795819,29.6953414,1.285,M,,,,,58633.1,0.7,259.8,9.01,12.52,5.69,8.99,210.3,4.0,3.54,2.0,2.0,-6.7,10.0,19.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
J222935.08+235531.0,337.39618,23.9252814,1.169,MDQW,,,,,60375.8,628.7,730.9,13.41,18.19,16.92,21.58,670.1,3.11,3.5,0.0,0.0,34.9,13.0,18.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
J222939.76+260944.3,337.4156858,26.1623212,1.875,MD,,,,,59860.3,204.5,545.7,11.46,12.83,14.01,12.23,1095.9,2.9,2.54,0.0,0.0,10.4,5.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
J222940.08-083254.4,337.41702,-8.5484536,1.56,MQ,Blazar,Blazar,0.754,0.143,58317.3,1.1,3.3,195.6,262.88,102.23,117.9,223.3,2.69,5.19,0.0,0.0,20.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
J222950.04+261831.2,337.458505,26.3086677,0.823,M,,,,,58465.2,209.0,67.4,10.11,13.39,13.13,13.7,238.2,3.56,3.22,1.0,2.0,35.6,14.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J223017.78-100618.2,337.5741006,-10.1050561,0.082,M,,Blazar,0.245,0.344,58296.9,17.9,4.9,108.45,276.02,60.55,111.67,191.2,6.06,3.17,0.0,1.0,35.7,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
J223018.55+305458.3,337.577312,30.916214,2.009,MDQW,,Blazar,0.109,0.091,59868.8,3.1,13.8,24.72,29.39,18.51,26.16,174.2,3.4,5.17,3.0,4.0,3.9,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
J223040.12+275819.1,337.6671752,27.9719832,0.836,MQW,,,,,58655.5,214.3,0.1,47.04,53.96,19.78,20.15,1087.9,4.93,1.91,0.0,0.0,13.2,15.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J223043.58+294815.9,337.6815784,29.8044165,0.414,MW,,,,,59306.3,0.0,38.4,14.58,30.1,42.36,24.85,204.5,4.09,7.86,7.0,2.0,44.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
J223047.12+021526.9,337.6963453,2.2574983,0.791,MQW,,QSO,0.043,0.054,58298.4,226.5,1876.7,19.94,23.0,45.11,47.32,202.3,3.54,3.45,0.0,0.0,14.0,39.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
J223054.21+173430.1,337.7258807,17.5750297,1.522,MDQW,,,,,58351.7,154.8,2809.3,202.16,288.64,56.27,56.28,1074.1,2.35,2.46,0.0,0.0,14.1,12.0,17.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
J223107.06+224813.1,337.7794292,22.8036495,2.357,MD,,AGN,0.374,0.057,59149.7,1.5,1.6,22.99,26.87,20.11,13.48,190.3,3.53,2.58,1.0,2.0,16.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J223116.72+131320.5,337.81966,13.222377,0.185,M,,,,,58858.7,3.4,20.1,49.77,86.96,30.38,67.06,203.2,5.69,7.67,3.0,1.0,67.7,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
J223132.66+154601.0,337.8860778,15.7669545,0.657,MDQW,,QSO,0.256,0.053,58266.4,194.9,162.1,56.33,54.89,49.89,43.38,188.9,3.74,4.16,0.0,0.0,-6.1,37.0,43.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
J223133.45+260956.2,337.8893918,26.1656207,2.113,MDLQW,,,,,58806.6,4000.0,23.5,73.47,79.82,9.45,12.57,1081.0,2.66,2.6,0.0,0.0,-1.9,13.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
J223133.90+003312.7,337.8912364,0.5535539,0.476,MDW,,AGN,0.289,0.116,60489.4,357.3,104.3,34.6,53.45,37.38,32.05,204.2,3.79,3.14,1.0,1.0,-5.5,28.0,33.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
J223150.51+063621.8,337.960446,6.6060637,1.778,MDW,,,,,59204.3,72.7,26.2,10.14,14.21,63.99,14.7,345.9,3.81,4.15,0.0,0.0,2.6,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J223151.93+091132.8,337.9663876,9.1924593,0.815,MW,,AGN,0.198,0.114,58394.2,217.0,218.1,12.11,15.63,17.2,15.94,239.3,3.19,3.4,0.0,1.0,20.9,34.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J223155.39+342125.5,337.9808,34.35709,0.029,M,,bogus,0.809,0.414,58435.5,2.5,1.1,691.31,1743.65,155.49,488.92,158.3,4.36,5.18,4.0,7.0,11.7,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J223159.32+182721.6,337.9971869,18.4560222,2.522,MD,,,,,58732.8,206.1,256.2,15.97,17.72,12.29,11.7,189.3,3.0,3.12,0.0,1.0,45.8,44.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J223209.55-080243.1,338.0398117,-8.0453052,1.9,MQ,,QSO,0.166,0.227,58456.1,6.6,10.9,37.67,43.21,45.79,17.63,187.4,4.15,3.43,2.0,0.0,-0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J223220.13+010316.1,338.0838783,1.0544888,0.876,MD,,,,,59370.3,0.0,100.7,13.33,15.36,11.99,32.19,223.2,3.76,3.08,2.0,4.0,-14.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
J223220.54+213033.6,338.0855927,21.5093545,0.955,MD,,SN,0.066,0.154,60398.3,53.4,654.4,18.84,22.17,13.84,12.6,1074.1,3.08,3.09,1.0,0.0,-14.1,90.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J223223.18+294452.6,338.0965952,29.7479655,1.481,MDQW,,QSO,0.707,0.124,60603.2,25.9,420.9,17.17,28.38,15.71,19.63,167.5,3.72,5.54,1.0,0.0,3.2,65.0,77.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
J223224.06-025332.2,338.1002677,-2.8922912,1.384,MDLQ,,SLSN,0.112,0.102,59465.8,163.0,587.5,40.59,53.92,18.03,19.12,187.3,4.04,3.82,0.0,0.0,9.5,86.0,96.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J223224.46+305008.0,338.1019306,30.8355591,0.035,M,,bogus,0.613,0.31,59543.1,0.0,1.7,477.96,796.08,822.07,2540.1,158.3,3.99,4.25,5.0,16.0,26.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
J223224.81+323443.3,338.1033587,32.5787051,1.38,MD,,,,,59353.4,7.7,113.8,9.86,9.86,36.28,7.75,337.0,3.14,3.88,0.0,1.0,-3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J223226.69+260838.8,338.1112086,26.1441159,1.931,M,,,,,59894.2,845.7,446.7,21.54,24.58,17.33,18.35,1077.1,2.99,3.06,0.0,0.0,15.1,7.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
J223226.83+204427.3,338.1117936,20.7409158,1.57,MQ,,QSO,0.439,0.222,59118.7,528.1,0.2,43.02,58.74,6.95,5.84,178.3,2.51,2.68,1.0,1.0,-30.2,90.0,96.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
J223227.69+260236.3,338.1153891,26.0434409,4.7,MW,,,,,58709.1,11.7,9.9,18.92,55.18,7.71,29.4,211.9,3.92,5.56,2.0,1.0,25.5,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J223240.56+294040.7,338.1690046,29.6779963,1.075,M,,,,,58258.3,307.1,0.8,8.27,11.22,16.72,25.67,242.1,4.91,3.98,0.0,1.0,69.8,36.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
