AGN_name,RA,DEC,z,source,type,ALeRCE,prob_diff_top2,alert_offset,t0,te,tg,r0_g,r0_r,A_g,A_r,max_gap,peak_sigma_g,peak_sigma_r,excess_num_g,excess_num_r,delta_bic,flare_point_g,flare_point_r,flag_1,flag_2,flag_3,flag_4,flag_5,flag_6,flag_7,flag_8
J012528.84-000555.9,21.370182,-0.0988697,1.076,MDQW,Blazar,Blazar,0.258,0.155,58386.9,19.7,10.0,388.4,494.09,120.92,202.12,228.3,3.37,4.27,0.0,0.0,129.5,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J012529.30+054921.5,21.3720686,5.8226533,1.241,MDQW,,QSO,0.301,0.036,59489.1,182.7,179.8,83.31,117.24,52.8,47.13,197.3,3.17,3.09,0.0,0.0,12.8,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J012558.06+151813.7,21.4919122,15.3038076,0.112,MLQ,,AGN,0.174,0.065,58462.0,127.4,46.1,190.84,368.42,586.79,549.34,158.3,4.56,4.44,0.0,0.0,185.4,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J012955.35+144647.8,22.4806159,14.7799549,1.623,MDQW,,Blazar,0.742,0.045,59786.9,2.7,4.0,79.12,109.41,218.74,294.06,163.2,9.08,12.1,0.0,0.0,514.8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J013030.65+184321.8,22.6276957,18.7227388,0.662,MQW,Blazar,Blazar,0.764,0.037,60596.4,4.5,5.2,37.26,60.84,89.16,135.92,164.3,6.47,6.63,0.0,1.0,158.4,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J013421.41-200434.2,23.5892145,-20.0761661,0.2,MQ,,Blazar,0.562,0.023,58354.1,0.0,7.9,36.65,62.33,266.88,315.82,307.1,7.31,6.56,0.0,0.0,200.1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J013444.57-003500.0,23.6856937,-0.5833554,0.87,MDW,,QSO,0.469,0.103,58885.1,137.6,203.4,13.02,14.61,27.22,28.35,322.2,3.42,3.3,0.0,0.0,24.5,35.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J013518.97+082356.7,23.8290516,8.3990821,0.504,MDLQW,,AGN,0.03,0.199,59494.0,125.8,167.4,39.12,45.61,70.67,63.68,163.2,3.59,3.52,0.0,0.0,37.7,32.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J013557.21+290521.5,23.9883743,29.0893112,2.056,M,,,,,58741.4,434.2,253.3,14.92,17.42,18.94,17.57,240.1,4.45,4.61,0.0,0.0,16.3,87.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J013724.49+084338.1,24.352026,8.7272614,2.333,MDQW,,YSO,0.064,0.16,59846.6,6.2,3.3,26.93,29.11,23.52,47.79,230.3,3.55,5.9,1.0,1.0,35.2,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J013736.20+292142.0,24.4008274,29.3616765,0.699,MDLQW,,QSO,0.082,0.118,58858.6,220.5,91.9,349.18,380.29,105.21,105.28,156.3,3.42,3.29,0.0,0.0,36.0,44.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J013801.15+224808.5,24.5047713,22.802382,0.3,MQW,Blazar,Blazar,0.638,0.033,58480.3,9.0,27.2,169.25,266.19,125.16,156.16,153.2,3.36,3.05,1.0,0.0,35.7,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J013816.03+334652.8,24.5667993,33.7813447,2.527,MLQW,,QSO,0.579,0.302,59540.3,418.5,321.1,46.4,51.38,30.47,29.74,167.2,3.13,3.23,0.0,0.0,58.0,115.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J013853.36+263921.5,24.7223412,26.6559946,2.627,M,,,,,58487.7,58.8,155.2,16.78,22.85,24.85,37.97,243.2,2.8,5.32,1.0,0.0,66.6,21.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J013926.30+350105.3,24.859584,35.0181485,0.485,MLQW,,QSO,0.019,0.043,60253.2,166.9,198.2,220.58,228.9,128.6,120.59,168.2,3.38,3.7,0.0,0.0,35.0,45.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J014155.05-095842.8,25.47937,-9.9785724,0.113,M,,,,,59198.4,6.6,0.4,143.41,359.7,33.37,161.07,246.2,3.05,5.5,1.0,0.0,20.2,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J014203.95-100728.1,25.5164581,-10.1244911,0.112,M,,,,,59200.4,2.3,1.3,114.99,261.09,65.07,233.95,246.2,3.03,5.97,2.0,0.0,28.7,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J014738.39-082718.0,26.9099424,-8.4550132,0.693,MQW,,Blazar,0.681,0.075,58802.2,168.6,44.7,64.67,116.12,139.6,292.15,246.2,3.33,3.31,1.0,1.0,43.5,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J014837.71-143650.2,27.1571135,-14.6139488,0.582,MDQW,,QSO,0.182,0.296,60254.5,97.3,222.3,142.42,115.62,90.06,85.03,256.3,3.01,3.44,0.0,0.0,13.6,33.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J014926.13+074311.1,27.3588826,7.7197528,0.542,MLQW,,AGN,0.01,0.156,60166.6,332.7,30.4,48.35,58.79,69.6,80.97,213.3,3.65,3.57,0.0,0.0,65.1,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J014935.28+860115.4,27.3969879,86.020961,0.15,M,Blazar,AGN,0.342,0.067,60186.8,13.2,4.8,145.59,313.98,152.81,232.31,157.2,6.19,5.84,0.0,0.0,51.8,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J015151.83+251135.9,27.9659749,25.1933286,1.596,MDW,,AGN,0.22,0.401,60230.4,283.9,194.6,10.16,15.91,15.44,15.24,258.1,3.2,2.98,0.0,0.0,19.3,25.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J015234.82-134735.4,28.145087,-13.7931801,0.168,MDQW,,AGN,0.556,0.069,58829.1,73.0,56.9,127.97,204.78,81.41,85.73,371.0,3.53,3.28,0.0,0.0,17.2,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J015500.27+004951.4,28.7511349,0.8309614,0.826,MDQW,,Blazar,0.615,0.036,58431.1,314.1,31.2,22.66,27.42,23.42,29.36,254.3,3.73,5.15,0.0,0.0,25.8,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J015700.01+143410.9,29.2500358,14.5697208,2.072,M,,QSO,0.149,0.149,59906.2,0.1,4.8,30.11,32.42,66.8,81.4,209.3,7.53,8.57,0.0,0.0,277.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J015715.29+295441.3,29.3137204,29.9114885,1.299,MDQW,,QSO,0.355,0.106,58772.8,1.1,0.8,55.16,71.59,28.34,48.48,162.3,2.13,3.71,0.0,0.0,33.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J020206.86-055900.1,30.528599,-5.9833697,0.189,MW,Blazar,Blazar,0.652,0.104,59465.3,7.6,0.1,178.58,370.81,401.01,746.46,315.2,5.03,4.26,0.0,0.0,55.2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J020354.02-092452.7,30.9750793,-9.4146499,0.214,M,,AGN,0.186,0.097,60283.5,69.9,25.9,61.69,112.87,100.47,92.81,190.3,5.66,7.53,0.0,0.0,128.6,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J020405.19+400503.5,31.0216439,40.0843104,0.072,M,Blazar,CV/Nova,0.012,0.107,59473.5,93.5,67.4,241.54,615.63,135.1,226.57,139.3,3.99,5.53,1.0,0.0,70.1,15.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J020426.73+315332.8,31.1113612,31.8924552,1.442,MDW,,Blazar,0.646,0.133,59347.3,135.1,120.1,15.31,21.91,28.08,44.56,331.0,3.26,4.99,1.0,0.0,10.9,21.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J020854.46-050225.7,32.2269153,-5.0404731,0.984,MD,,,,,59427.4,0.0,376.6,15.64,20.05,8.56,9.89,258.2,3.83,6.57,0.0,0.0,11.0,34.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J021207.44-082758.6,33.0309947,-8.4663017,0.653,MQW,,,,,58625.4,111.7,145.5,21.02,25.59,21.8,20.07,238.3,5.24,4.16,0.0,1.0,24.6,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
